index,home_team,away_team,home_goals,away_goals,result,season
912,Bolton Wanderers,Chelsea,0,-1,A,2008-2009
888,Hull City,Manchester City,2,2,D,2008-2009
865,West Bromwich Albion,Blackburn Rovers,2,2,D,2008-2009
864,Stoke City,Arsenal,2,1,H,2008-2009
863,Portsmouth,Wigan Athletic,1,2,A,2008-2009
862,Middlesbrough,West Ham United,1,1,D,2008-2009
861,Manchester United,Hull City,4,3,H,2008-2009
860,Chelsea,Sunderland,5,0,H,2008-2009
858,Middlesbrough,Manchester City,2,0,H,2008-2009
857,Manchester United,West Ham United,2,0,H,2008-2009
866,Tottenham Hotspur,Liverpool,2,1,H,2008-2009
856,Liverpool,Portsmouth,1,0,H,2008-2009
854,Arsenal,Tottenham Hotspur,4,4,D,2008-2009
853,Stoke City,Sunderland,1,0,H,2008-2009
852,Hull City,Chelsea,0,3,A,2008-2009
851,Fulham,Wigan Athletic,2,0,H,2008-2009
850,Aston Villa,Blackburn Rovers,3,2,H,2008-2009
889,Chelsea,Newcastle United,0,0,D,2008-2009
849,Newcastle United,West Bromwich Albion,2,1,H,2008-2009
848,Portsmouth,Fulham,1,1,D,2008-2009
855,Bolton Wanderers,Everton,0,1,A,2008-2009
867,Bolton Wanderers,Manchester City,2,0,H,2008-2009
859,Everton,Fulham,1,0,H,2008-2009
869,Arsenal,Manchester United,2,1,H,2008-2009
886,West Bromwich Albion,Chelsea,0,3,A,2008-2009
887,Everton,Middlesbrough,1,1,D,2008-2009
885,West Ham United,Portsmouth,0,0,D,2008-2009
868,Newcastle United,Aston Villa,2,0,H,2008-2009
884,Newcastle United,Wigan Athletic,2,2,D,2008-2009
883,Manchester United,Stoke City,5,0,H,2008-2009
882,Fulham,Tottenham Hotspur,2,1,H,2008-2009
881,Blackburn Rovers,Sunderland,1,2,A,2008-2009
879,Bolton Wanderers,Liverpool,0,2,A,2008-2009
878,Fulham,Newcastle United,2,1,H,2008-2009
880,Arsenal,Aston Villa,0,2,A,2008-2009
876,Aston Villa,Middlesbrough,1,2,A,2008-2009
875,Blackburn Rovers,Chelsea,0,2,A,2008-2009
874,Liverpool,West Bromwich Albion,3,0,H,2008-2009
873,West Ham United,Everton,1,3,A,2008-2009
877,Manchester City,Tottenham Hotspur,1,2,A,2008-2009
872,Sunderland,Portsmouth,1,2,A,2008-2009
870,Wigan Athletic,Stoke City,0,0,D,2008-2009
871,Hull City,Bolton Wanderers,0,1,A,2008-2009
1386,Arsenal,Liverpool,1,0,H,2009-2010
1388,West Ham United,Birmingham City,2,0,H,2009-2010
1381,Chelsea,Arsenal,2,0,H,2009-2010
1382,Manchester City,Bolton Wanderers,2,0,H,2009-2010
1384,Wigan Athletic,Stoke City,1,1,D,2009-2010
1385,Fulham,Burnley,3,0,H,2009-2010
1380,Birmingham City,Wolverhampton Wanderers,2,1,H,2009-2010
1387,Aston Villa,Manchester United,1,1,D,2009-2010
1383,Portsmouth,Sunderland,1,1,D,2009-2010
1379,Tottenham Hotspur,Aston Villa,0,0,D,2009-2010
1372,Liverpool,Everton,1,0,H,2009-2010
1377,Stoke City,Blackburn Rovers,3,0,H,2009-2010
1376,Manchester United,Portsmouth,5,0,H,2009-2010
1375,Hull City,Manchester City,2,1,H,2009-2010
1374,Burnley,West Ham United,2,1,H,2009-2010
1373,Bolton Wanderers,Fulham,0,0,D,2009-2010
1371,Fulham,Portsmouth,1,0,H,2009-2010
1368,Arsenal,Manchester United,1,3,A,2009-2010
1389,Wolverhampton Wanderers,Tottenham Hotspur,1,0,H,2009-2010
1370,Hull City,Chelsea,1,1,D,2009-2010
1369,Sunderland,Stoke City,0,0,D,2009-2010
1378,Sunderland,Wigan Athletic,1,1,D,2009-2010
1390,Blackburn Rovers,Hull City,1,0,H,2009-2010
1409,Stoke City,Arsenal,1,3,A,2009-2010
1392,Stoke City,Manchester City,1,1,D,2009-2010
1413,Arsenal,Burnley,3,1,H,2009-2010
1367,Manchester City,Portsmouth,2,0,H,2009-2010
1414,West Ham United,Bolton Wanderers,1,2,A,2009-2010
1412,Sunderland,Fulham,0,0,D,2009-2010
1411,Liverpool,Blackburn Rovers,2,1,H,2009-2010
1410,Tottenham Hotspur,Everton,2,1,H,2009-2010
1408,Burnley,Portsmouth,1,2,A,2009-2010
1407,Bolton Wanderers,Wolverhampton Wanderers,1,0,H,2009-2010
1406,Birmingham City,Wigan Athletic,1,0,H,2009-2010
1405,Chelsea,Manchester City,2,4,A,2009-2010
1391,Everton,Chelsea,2,1,H,2009-2010
1404,Manchester United,West Ham United,3,0,H,2009-2010
1402,Manchester City,Liverpool,0,0,D,2009-2010
1401,Fulham,Birmingham City,2,1,H,2009-2010
1400,Aston Villa,Burnley,5,2,H,2009-2010
1399,Blackburn Rovers,Bolton Wanderers,3,0,H,2009-2010
1398,Portsmouth,Stoke City,1,2,A,2009-2010
1397,Wolverhampton Wanderers,Chelsea,0,2,A,2009-2010
1396,West Ham United,Hull City,3,0,H,2009-2010
1395,Arsenal,Sunderland,2,0,H,2009-2010
1394,Everton,Manchester United,3,1,H,2009-2010
1393,Wigan Athletic,Bolton Wanderers,0,0,D,2009-2010
1403,Wigan Athletic,Tottenham Hotspur,0,3,A,2009-2010
1366,Burnley,Chelsea,1,2,A,2009-2010
1324,Arsenal,Aston Villa,3,0,H,2009-2010
1364,West Ham United,Blackburn Rovers,0,0,D,2009-2010
1337,Arsenal,Everton,2,2,D,2009-2010
1336,Stoke City,Fulham,3,2,H,2009-2010
1335,Manchester United,Wigan Athletic,5,0,H,2009-2010
1334,Portsmouth,Arsenal,1,4,A,2009-2010
1333,Bolton Wanderers,Hull City,2,2,D,2009-2010
1332,Aston Villa,Liverpool,0,1,A,2009-2010
1331,Wolverhampton Wanderers,Manchester City,0,3,A,2009-2010
1330,Stoke City,Birmingham City,0,1,A,2009-2010
1329,Everton,Burnley,2,0,H,2009-2010
1328,Chelsea,Fulham,2,1,H,2009-2010
1338,Birmingham City,Manchester United,1,1,D,2009-2010
1327,Blackburn Rovers,Sunderland,2,-2,D,2009-2010
1325,Hull City,Manchester United,1,3,A,2009-2010
1323,Liverpool,Wolverhampton Wanderers,2,0,H,2009-2010
1322,Wigan Athletic,Blackburn Rovers,1,1,D,2009-2010
1321,Sunderland,Everton,1,1,D,2009-2010
1320,Manchester City,Stoke City,2,0,H,2009-2010
1319,Burnley,Bolton Wanderers,1,1,D,2009-2010
1318,West Ham United,Portsmouth,2,-2,H,2009-2010
1317,Fulham,Tottenham Hotspur,0,0,D,2009-2010
1415,Wolverhampton Wanderers,Manchester United,0,1,A,2009-2010
1316,Birmingham City,Chelsea,0,0,D,2009-2010
1326,Tottenham Hotspur,West Ham United,2,0,H,2009-2010
1365,Wigan Athletic,Everton,0,1,A,2009-2010
1339,Manchester City,Blackburn Rovers,4,1,H,2009-2010
1341,Chelsea,Sunderland,7,2,H,2009-2010
1363,Liverpool,Bolton Wanderers,2,0,H,2009-2010
1362,Hull City,Wolverhampton Wanderers,2,2,D,2009-2010
1361,Fulham,Aston Villa,0,2,A,2009-2010
1360,Birmingham City,Tottenham Hotspur,1,1,D,2009-2010
1359,Everton,Sunderland,2,0,?,2009-2010
1358,Blackburn Rovers,Wigan Athletic,2,1,H,2009-2010
1357,Chelsea,Birmingham City,3,0,H,2009-2010
1356,Aston Villa,Arsenal,0,0,D,2009-2010
1355,Tottenham Hotspur,Fulham,2,0,H,2009-2010
1354,Bolton Wanderers,Burnley,1,0,H,2009-2010
1340,Stoke City,Liverpool,1,1,D,2009-2010
1353,Wolverhampton Wanderers,Liverpool,0,0,D,2009-2010
1351,Manchester United,Hull City,4,0,H,2009-2010
1350,Liverpool,Tottenham Hotspur,2,0,?,2009-2010
1349,Arsenal,Bolton Wanderers,4,2,H,2009-2010
1348,Bolton Wanderers,Arsenal,0,2,A,2009-2010
1347,Blackburn Rovers,Fulham,2,0,H,2009-2010
1346,Aston Villa,West Ham United,0,0,?,2009-2010
1345,Everton,Manchester City,2,0,H,2009-2010
1344,Wolverhampton Wanderers,Wigan Athletic,0,2,A,2009-2010
1343,Tottenham Hotspur,Hull City,0,0,D,2009-2010
1342,Manchester United,Burnley,3,0,?,2009-2010
1352,Portsmouth,West Ham United,1,1,D,2009-2010
1416,Everton,Hull City,5,1,H,2009-2010
1503,Liverpool,Chelsea,0,2,A,2009-2010
1418,Portsmouth,Birmingham City,1,2,A,2009-2010
1492,Wolverhampton Wanderers,Blackburn Rovers,1,1,D,2009-2010
1491,West Ham United,Wigan Athletic,3,2,H,2009-2010
1490,Hull City,Sunderland,0,1,A,2009-2010
1489,Bolton Wanderers,Portsmouth,2,2,D,2009-2010
1488,Manchester United,Tottenham Hotspur,3,1,H,2009-2010
1487,Hull City,Aston Villa,0,2,A,2009-2010
1486,Liverpool,West Ham United,3,0,H,2009-2010
1485,Portsmouth,Aston Villa,1,2,A,2009-2010
1484,Wigan Athletic,Arsenal,3,2,H,2009-2010
1483,Tottenham Hotspur,Chelsea,2,1,H,2009-2010
1493,Arsenal,Manchester City,0,0,D,2009-2010
1482,Sunderland,Burnley,2,1,H,2009-2010
1480,Fulham,Wolverhampton Wanderers,0,0,D,2009-2010
1479,Blackburn Rovers,Everton,2,3,A,2009-2010
1478,Birmingham City,Hull City,0,0,D,2009-2010
1477,Manchester City,Manchester United,0,1,A,2009-2010
1476,Tottenham Hotspur,Arsenal,2,1,H,2009-2010
1475,Wigan Athletic,Portsmouth,0,0,D,2009-2010
1474,Aston Villa,Everton,2,2,D,2009-2010
1473,Chelsea,Bolton Wanderers,1,0,H,2009-2010
1472,Manchester City,Birmingham City,5,1,H,2009-2010
1471,Liverpool,Fulham,0,0,D,2009-2010
1481,Stoke City,Bolton Wanderers,1,2,A,2009-2010
1470,Blackburn Rovers,Manchester United,0,0,D,2009-2010
1494,Aston Villa,Birmingham City,1,0,H,2009-2010
1496,Everton,Fulham,2,1,H,2009-2010
1519,Wolverhampton Wanderers,Sunderland,2,1,H,2009-2010
1518,West Ham United,Manchester City,1,1,D,2009-2010
1517,Manchester United,Stoke City,4,0,H,2009-2010
1516,Hull City,Liverpool,0,0,D,2009-2010
1515,Everton,Portsmouth,1,0,H,2009-2010
1514,Chelsea,Wigan Athletic,8,0,H,2009-2010
1513,Burnley,Tottenham Hotspur,4,2,H,2009-2010
1512,Bolton Wanderers,Birmingham City,2,1,H,2009-2010
1511,Aston Villa,Blackburn Rovers,0,1,A,2009-2010
1510,Arsenal,Fulham,4,0,H,2009-2010
1495,Burnley,Liverpool,0,4,A,2009-2010
1509,Manchester City,Tottenham Hotspur,0,1,A,2009-2010
1507,Blackburn Rovers,Arsenal,2,1,H,2009-2010
1506,Wigan Athletic,Hull City,2,2,D,2009-2010
1505,Sunderland,Manchester United,0,1,A,2009-2010
1315,West Ham United,Chelsea,1,1,D,2009-2010
1502,Tottenham Hotspur,Bolton Wanderers,1,0,H,2009-2010
1501,Stoke City,Everton,0,0,D,2009-2010
1500,Portsmouth,Wolverhampton Wanderers,3,1,H,2009-2010
1499,Manchester City,Aston Villa,3,1,H,2009-2010
1498,Birmingham City,Burnley,2,1,H,2009-2010
1497,Chelsea,Stoke City,7,0,H,2009-2010
1508,Fulham,Stoke City,0,1,A,2009-2010
1417,Wigan Athletic,Liverpool,1,0,H,2009-2010
1469,Wolverhampton Wanderers,Stoke City,0,0,D,2009-2010
1467,Hull City,Burnley,1,4,A,2009-2010
1440,Fulham,Manchester City,1,2,A,2009-2010
1439,Manchester United,Liverpool,2,1,H,2009-2010
1438,Arsenal,West Ham United,2,0,H,2009-2010
1437,Wigan Athletic,Burnley,1,0,H,2009-2010
1436,Sunderland,Birmingham City,3,1,H,2009-2010
1435,Stoke City,Tottenham Hotspur,1,2,A,2009-2010
1434,Portsmouth,Hull City,3,2,H,2009-2010
1433,Everton,Bolton Wanderers,2,0,H,2009-2010
1432,Aston Villa,Wolverhampton Wanderers,2,2,D,2009-2010
1431,Wigan Athletic,Aston Villa,1,2,A,2009-2010
1441,Blackburn Rovers,Chelsea,1,1,D,2009-2010
1430,Liverpool,Portsmouth,4,1,H,2009-2010
1428,Manchester United,Fulham,3,0,H,2009-2010
1427,Hull City,Arsenal,1,2,A,2009-2010
1426,Stoke City,Aston Villa,0,0,D,2009-2010
1425,Chelsea,West Ham United,4,1,H,2009-2010
1424,Burnley,Wolverhampton Wanderers,1,2,A,2009-2010
1423,Bolton Wanderers,Wigan Athletic,4,0,H,2009-2010
1422,Birmingham City,Everton,2,2,D,2009-2010
1421,Tottenham Hotspur,Blackburn Rovers,3,1,H,2009-2010
1420,Burnley,Stoke City,1,1,D,2009-2010
1419,Sunderland,Bolton Wanderers,4,0,H,2009-2010
1429,Sunderland,Manchester City,1,1,D,2009-2010
1468,West Ham United,Sunderland,1,0,H,2009-2010
1442,West Ham United,Wolverhampton Wanderers,1,3,A,2009-2010
1444,Manchester City,Everton,0,2,A,2009-2010
1466,Everton,West Ham United,2,2,D,2009-2010
1465,Fulham,Wigan Athletic,2,1,H,2009-2010
1464,Birmingham City,Liverpool,1,1,D,2009-2010
1463,Burnley,Manchester City,1,6,A,2009-2010
1462,Sunderland,Tottenham Hotspur,3,1,H,2009-2010
1461,Stoke City,Hull City,2,0,H,2009-2010
1460,Portsmouth,Blackburn Rovers,0,0,D,2009-2010
1459,Bolton Wanderers,Aston Villa,0,1,A,2009-2010
1458,Arsenal,Wolverhampton Wanderers,1,0,H,2009-2010
1457,Manchester United,Chelsea,1,2,A,2009-2010
1443,Aston Villa,Sunderland,1,1,D,2009-2010
1456,Manchester City,Wigan Athletic,3,0,H,2009-2010
1454,Burnley,Blackburn Rovers,0,1,A,2009-2010
1453,Bolton Wanderers,Manchester United,0,4,A,2009-2010
1452,Wolverhampton Wanderers,Everton,0,0,D,2009-2010
1451,West Ham United,Stoke City,0,1,A,2009-2010
1450,Tottenham Hotspur,Portsmouth,2,0,H,2009-2010
1449,Hull City,Fulham,2,0,H,2009-2010
1448,Chelsea,Aston Villa,7,1,H,2009-2010
1447,Birmingham City,Arsenal,1,1,D,2009-2010
1446,Blackburn Rovers,Birmingham City,2,1,H,2009-2010
1445,Portsmouth,Chelsea,0,5,A,2009-2010
1455,Liverpool,Sunderland,3,0,H,2009-2010
1314,Everton,Birmingham City,-2,1,D,2009-2010
1504,Fulham,West Ham United,3,2,H,2009-2010
1312,Arsenal,Hull City,3,0,H,2009-2010
1201,Tottenham Hotspur,Burnley,5,0,H,2009-2010
1200,Stoke City,Manchester United,0,2,A,2009-2010
1199,Liverpool,Hull City,6,1,H,2009-2010
1198,Blackburn Rovers,Aston Villa,2,1,H,2009-2010
1197,Birmingham City,Bolton Wanderers,1,2,A,2009-2010
1196,Portsmouth,Everton,0,1,A,2009-2010
1195,Chelsea,Tottenham Hotspur,3,0,H,2009-2010
1194,Everton,Blackburn Rovers,3,0,H,2009-2010
1202,Wigan Athletic,Chelsea,3,1,H,2009-2010
1193,Wolverhampton Wanderers,Fulham,2,1,H,2009-2010
1191,West Ham United,Liverpool,2,3,A,2009-2010
1190,Hull City,Birmingham City,0,1,A,2009-2010
1189,Bolton Wanderers,Stoke City,1,1,D,2009-2010
1188,Aston Villa,Portsmouth,2,0,H,2009-2010
1187,Arsenal,Wigan Athletic,4,0,H,2009-2010
1186,Burnley,Sunderland,3,1,H,2009-2010
1185,Fulham,Everton,2,1,H,2009-2010
1184,Birmingham City,Aston Villa,0,1,A,2009-2010
1192,Manchester United,Manchester City,4,3,H,2009-2010
1183,Tottenham Hotspur,Manchester United,1,3,A,2009-2010
1203,Fulham,Arsenal,0,1,A,2009-2010
1205,Manchester City,West Ham United,3,1,H,2009-2010
1223,Blackburn Rovers,Burnley,3,2,H,2009-2010
1222,Sunderland,Liverpool,1,0,H,2009-2010
1221,Stoke City,West Ham United,2,1,H,2009-2010
1220,Portsmouth,Tottenham Hotspur,1,2,A,2009-2010
1219,Manchester United,Bolton Wanderers,2,1,H,2009-2010
1218,Everton,Wolverhampton Wanderers,1,1,D,2009-2010
1217,Arsenal,Birmingham City,3,1,H,2009-2010
1216,Aston Villa,Chelsea,2,1,H,2009-2010
1204,Sunderland,Wolverhampton Wanderers,5,2,H,2009-2010
1215,Aston Villa,Manchester City,1,1,D,2009-2010
1213,West Ham United,Fulham,2,2,D,2009-2010
1212,Everton,Stoke City,1,1,D,2009-2010
1211,Arsenal,Blackburn Rovers,6,2,H,2009-2010
1210,Manchester United,Sunderland,2,2,D,2009-2010
1209,Wolverhampton Wanderers,Portsmouth,0,1,A,2009-2010
1208,Hull City,Wigan Athletic,2,1,H,2009-2010
1207,Burnley,Birmingham City,2,1,H,2009-2010
1206,Bolton Wanderers,Tottenham Hotspur,2,2,D,2009-2010
1214,Chelsea,Liverpool,2,0,H,2009-2010
1224,Wigan Athletic,Manchester City,1,-2,D,2009-2010
1182,Wigan Athletic,West Ham United,1,0,H,2009-2010
1180,Stoke City,Chelsea,1,2,A,2009-2010
1157,Birmingham City,Stoke City,0,0,D,2009-2010
1156,Arsenal,Portsmouth,4,1,H,2009-2010
1155,Liverpool,Stoke City,4,0,H,2009-2010
1154,Hull City,Tottenham Hotspur,1,5,A,2009-2010
1153,Burnley,Manchester United,1,0,H,2009-2010
1152,Birmingham City,Portsmouth,-2,0,H,2009-2010
1151,Wigan Athletic,Wolverhampton Wanderers,0,1,A,2009-2010
1150,Sunderland,Chelsea,1,3,A,2009-2010
1158,Hull City,Bolton Wanderers,1,0,H,2009-2010
1149,Tottenham Hotspur,Liverpool,2,1,H,2009-2010
1147,Everton,Arsenal,1,6,A,2009-2010
1146,Wolverhampton Wanderers,West Ham United,0,2,A,2009-2010
1145,Stoke City,Burnley,2,0,H,2009-2010
1144,Portsmouth,Fulham,0,1,A,2009-2010
1143,Bolton Wanderers,Sunderland,0,1,A,2009-2010
1142,Blackburn Rovers,Manchester City,0,2,A,2009-2010
1141,Aston Villa,Wigan Athletic,0,2,A,2009-2010
1140,Chelsea,Hull City,2,1,H,2009-2010
1148,Manchester United,Birmingham City,1,0,H,2009-2010
1181,Sunderland,Hull City,4,1,H,2009-2010
1159,Manchester City,Wolverhampton Wanderers,1,0,H,2009-2010
1161,Wigan Athletic,Manchester United,0,5,A,2009-2010
1179,Portsmouth,Bolton Wanderers,2,3,A,2009-2010
1178,Manchester City,Arsenal,4,2,H,2009-2010
1177,Liverpool,Burnley,4,0,H,2009-2010
1176,Blackburn Rovers,Wolverhampton Wanderers,3,1,H,2009-2010
1175,Aston Villa,Fulham,2,0,H,2009-2010
1174,Everton,Wigan Athletic,2,1,?,2009-2010
1173,Portsmouth,Manchester City,0,1,A,2009-2010
1172,Manchester United,Arsenal,2,1,H,2009-2010
1160,Sunderland,Blackburn Rovers,2,1,H,2009-2010
1171,Wolverhampton Wanderers,Hull City,1,1,?,2009-2010
1169,Stoke City,Sunderland,1,0,H,2009-2010
1168,Bolton Wanderers,Liverpool,2,3,A,2009-2010
1167,Blackburn Rovers,West Ham United,0,0,D,2009-2010
1166,Chelsea,Burnley,3,0,H,2009-2010
1165,Liverpool,Aston Villa,1,3,A,2009-2010
1164,Fulham,Chelsea,0,2,A,2009-2010
1163,Burnley,Everton,1,0,H,2009-2010
1162,West Ham United,Tottenham Hotspur,1,2,A,2009-2010
1170,Tottenham Hotspur,Birmingham City,2,1,H,2009-2010
1225,Fulham,Hull City,2,0,H,2009-2010
1313,Wolverhampton Wanderers,Burnley,2,0,H,2009-2010
1227,Birmingham City,Sunderland,2,1,H,2009-2010
1289,Stoke City,Wigan Athletic,2,2,D,2009-2010
1288,Everton,Tottenham Hotspur,2,2,D,2009-2010
1287,Fulham,Sunderland,1,0,H,2009-2010
1286,Manchester City,Chelsea,2,1,H,2009-2010
1285,Wolverhampton Wanderers,Bolton Wanderers,2,1,H,2009-2010
1284,Wigan Athletic,Birmingham City,2,3,A,2009-2010
1283,West Ham United,Manchester United,0,4,A,2009-2010
1282,Blackburn Rovers,Liverpool,0,0,D,2009-2010
1290,Birmingham City,West Ham United,1,0,H,2009-2010
1281,Aston Villa,Hull City,3,0,H,2009-2010
1279,Portsmouth,Burnley,2,0,H,2009-2010
1278,Arsenal,Chelsea,0,3,A,2009-2010
1277,Everton,Liverpool,0,2,A,2009-2010
1276,Wolverhampton Wanderers,Birmingham City,0,1,A,2009-2010
1275,Aston Villa,Tottenham Hotspur,1,1,D,2009-2010
1274,Wigan Athletic,Sunderland,1,0,H,2009-2010
1273,West Ham United,Burnley,5,3,H,2009-2010
1272,Portsmouth,Manchester United,1,4,A,2009-2010
1280,Arsenal,Stoke City,2,0,H,2009-2010
1271,Manchester City,Hull City,1,-2,D,2009-2010
1291,Bolton Wanderers,Manchester City,3,3,D,2009-2010
1293,Chelsea,Everton,3,3,D,2009-2010
1226,Wolverhampton Wanderers,Aston Villa,1,1,D,2009-2010
1311,Manchester City,Sunderland,4,3,H,2009-2010
1310,Fulham,Manchester United,3,0,H,2009-2010
1309,Blackburn Rovers,Tottenham Hotspur,0,2,A,2009-2010
1308,Aston Villa,Stoke City,1,0,H,2009-2010
1307,Portsmouth,Liverpool,2,0,H,2009-2010
1306,Tottenham Hotspur,Manchester City,3,0,H,2009-2010
1305,Liverpool,Wigan Athletic,2,1,H,2009-2010
1292,Burnley,Fulham,1,1,D,2009-2010
1304,Chelsea,Portsmouth,2,1,H,2009-2010
1302,Manchester United,Wolverhampton Wanderers,3,0,H,2009-2010
1301,Bolton Wanderers,West Ham United,3,1,H,2009-2010
1300,Birmingham City,Blackburn Rovers,2,1,H,2009-2010
1299,Sunderland,Aston Villa,0,2,A,2009-2010
1298,Liverpool,Arsenal,1,2,A,2009-2010
1297,Manchester United,Aston Villa,0,1,A,2009-2010
1296,Tottenham Hotspur,Wolverhampton Wanderers,0,1,A,2009-2010
1295,Sunderland,Portsmouth,1,1,D,2009-2010
1303,Burnley,Arsenal,1,1,D,2009-2010
1270,Fulham,Bolton Wanderers,1,1,D,2009-2010
1294,Hull City,Blackburn Rovers,0,0,D,2009-2010
1268,Fulham,Blackburn Rovers,3,0,H,2009-2010
1245,Birmingham City,Manchester City,0,-1,D,2009-2010
1244,Manchester United,Blackburn Rovers,2,0,H,2009-2010
1243,Sunderland,West Ham United,2,2,D,2009-2010
1242,Stoke City,Wolverhampton Wanderers,2,2,D,2009-2010
1241,Portsmouth,Wigan Athletic,4,0,H,2009-2010
1240,Fulham,Liverpool,3,1,H,2009-2010
1239,Everton,Aston Villa,1,1,D,2009-2010
1238,Burnley,Hull City,2,0,H,2009-2010
1246,West Ham United,Aston Villa,2,1,H,2009-2010
1236,Arsenal,Tottenham Hotspur,3,0,H,2009-2010
1234,Manchester City,Fulham,2,2,D,2009-2010
1233,Liverpool,Manchester United,2,0,H,2009-2010
1232,Bolton Wanderers,Everton,3,2,H,2009-2010
1231,Chelsea,Blackburn Rovers,5,0,H,2009-2010
1230,Tottenham Hotspur,Stoke City,0,1,A,2009-2010
1229,Hull City,Portsmouth,0,0,D,2009-2010
1269,Blackburn Rovers,Stoke City,0,0,D,2009-2010
1228,Burnley,Wigan Athletic,1,3,A,2009-2010
1235,West Ham United,Arsenal,2,2,D,2009-2010
1247,Aston Villa,Bolton Wanderers,5,1,H,2009-2010
1237,Bolton Wanderers,Chelsea,0,4,A,2009-2010
1249,Manchester City,Burnley,3,3,D,2009-2010
1267,Hull City,Everton,3,2,H,2009-2010
1266,Stoke City,Portsmouth,-2,0,H,2009-2010
1248,Blackburn Rovers,Portsmouth,3,1,H,2009-2010
1265,Tottenham Hotspur,Wigan Athletic,9,1,H,2009-2010
1264,Bolton Wanderers,Blackburn Rovers,0,2,A,2009-2010
1263,Manchester United,Everton,3,0,H,2009-2010
1262,Sunderland,Arsenal,1,0,H,2009-2010
1260,Chelsea,Wolverhampton Wanderers,4,0,H,2009-2010
1259,Burnley,Aston Villa,1,1,D,2009-2010
1258,Birmingham City,Fulham,1,0,H,2009-2010
1261,Hull City,West Ham United,3,3,D,2009-2010
1257,Liverpool,Manchester City,2,2,D,2009-2010
1256,Liverpool,Birmingham City,2,2,D,2009-2010
1255,Chelsea,Manchester United,1,0,H,2009-2010
1254,Wigan Athletic,Fulham,1,1,D,2009-2010
1253,West Ham United,Everton,1,2,A,2009-2010
1252,Hull City,Stoke City,2,1,H,2009-2010
1251,Wolverhampton Wanderers,Arsenal,1,4,A,2009-2010
1250,Tottenham Hotspur,Sunderland,-1,0,H,2009-2010
1768,Newcastle United,Arsenal,4,4,D,2010-2011
1761,Bolton Wanderers,Wolverhampton Wanderers,1,0,H,2010-2011
1762,Fulham,Newcastle United,1,0,H,2010-2011
1763,Liverpool,Stoke City,2,0,H,2010-2011
1765,Aston Villa,Fulham,2,2,D,2010-2011
1767,Manchester City,West Bromwich Albion,3,0,H,2010-2011
1766,Everton,Blackpool,5,3,H,2010-2011
1760,Blackpool,West Ham United,1,3,A,2010-2011
1764,Stoke City,Sunderland,3,2,H,2010-2011
1759,Blackburn Rovers,Tottenham Hotspur,0,1,A,2010-2011
1751,Blackpool,Manchester United,2,3,A,2010-2011
1757,West Bromwich Albion,Wigan Athletic,2,2,D,2010-2011
1756,Manchester United,Aston Villa,3,1,H,2010-2011
1755,Sunderland,Chelsea,2,4,A,2010-2011
1754,Arsenal,Everton,2,1,H,2010-2011
1753,Liverpool,Fulham,1,0,H,2010-2011
1752,Wigan Athletic,Aston Villa,1,2,A,2010-2011
1750,Bolton Wanderers,Chelsea,0,4,A,2010-2011
1749,Blackburn Rovers,West Bromwich Albion,2,0,H,2010-2011
1769,Tottenham Hotspur,Bolton Wanderers,2,1,H,2010-2011
1748,Aston Villa,Manchester City,1,0,H,2010-2011
1758,Birmingham City,Manchester City,2,2,D,2010-2011
1770,Wigan Athletic,Blackburn Rovers,4,3,H,2010-2011
1790,Newcastle United,Bolton Wanderers,1,1,D,2010-2011
1772,West Ham United,Birmingham City,0,1,A,2010-2011
1747,Newcastle United,Tottenham Hotspur,1,1,D,2010-2011
1794,Manchester City,Fulham,1,1,D,2010-2011
1793,West Ham United,Liverpool,3,1,H,2010-2011
1792,Wolverhampton Wanderers,Blackpool,4,-2,H,2010-2011
1791,Wigan Athletic,Manchester United,0,4,A,2010-2011
1789,Everton,Sunderland,2,0,H,2010-2011
1788,Aston Villa,Blackburn Rovers,4,1,H,2010-2011
1787,Arsenal,Stoke City,1,0,H,2010-2011
1786,Blackpool,Tottenham Hotspur,3,1,H,2010-2011
1785,West Bromwich Albion,Wolverhampton Wanderers,1,1,D,2010-2011
1771,Wolverhampton Wanderers,Manchester United,2,1,H,2010-2011
1784,Birmingham City,Newcastle United,0,2,A,2010-2011
1782,Bolton Wanderers,Everton,2,0,H,2010-2011
1781,Sunderland,Tottenham Hotspur,1,2,A,2010-2011
1780,West Bromwich Albion,West Ham United,3,3,D,2010-2011
1779,Liverpool,Wigan Athletic,1,1,D,2010-2011
1778,Blackpool,Aston Villa,1,1,D,2010-2011
1777,Blackburn Rovers,Newcastle United,0,0,D,2010-2011
1776,Birmingham City,Stoke City,1,0,H,2010-2011
1775,Arsenal,Wolverhampton Wanderers,2,0,H,2010-2011
1774,Manchester United,Manchester City,2,1,H,2010-2011
1773,Chelsea,Liverpool,0,1,A,2010-2011
1783,Fulham,Chelsea,0,0,D,2010-2011
1746,Manchester United,Birmingham City,5,0,H,2010-2011
1704,West Bromwich Albion,Blackburn Rovers,1,3,A,2010-2011
1744,Everton,West Ham United,2,2,D,2010-2011
1717,Birmingham City,Arsenal,0,3,A,2010-2011
1716,West Ham United,Wolverhampton Wanderers,2,0,H,2010-2011
1715,Tottenham Hotspur,Fulham,1,0,H,2010-2011
1714,Sunderland,Blackburn Rovers,3,0,H,2010-2011
1713,Stoke City,Everton,2,0,H,2010-2011
1712,Manchester City,Blackpool,1,0,H,2010-2011
